season,cccaa_season,team,team_id,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,2022-23,Sacramento City,sacramentocity,1386,1144,227.0,284.0,67.0,9.0,17.0,196.0,28.0,15.0,150.0,272.0,420,68.0,12.0,12.0,93,19.0,228.0,334.0,0.683,0.248,0.362,0.448,0.81,94.0,0.308,0.433,0.012,0.196,0.108,0.088,0.551
2023,2022-23,Saddleback,saddleback,1370,1157,259.0,386.0,72.0,11.0,16.0,233.0,28.0,7.0,142.0,181.0,528,27.0,23.0,21.0,99,22.0,274.0,324.0,0.846,0.334,0.405,0.542,0.947,110.0,0.377,0.451,0.012,0.132,0.104,0.028,0.785
2023,2022-23,San Bernardino Valley,sanbernardinovalley,1301,1099,179.0,303.0,78.0,10.0,10.0,157.0,39.0,21.0,130.0,246.0,431,49.0,7.0,16.0,98,22.0,260.0,277.0,0.939,0.276,0.37,0.481,0.851,99.0,0.341,0.358,0.008,0.189,0.1,0.089,0.528
2023,2022-23,San Diego City,sandiegocity,1304,1072,199.0,292.0,57.0,7.0,24.0,173.0,38.0,16.0,131.0,201.0,435,69.0,20.0,12.0,88,17.0,255.0,320.0,0.797,0.272,0.377,0.488,0.865,101.0,0.312,0.374,0.018,0.154,0.1,0.054,0.652
2023,2022-23,San Diego Mesa,sandiegomesa,1305,1057,178.0,296.0,85.0,8.0,14.0,162.0,23.0,12.0,140.0,237.0,439,56.0,32.0,20.0,107,27.0,270.0,280.0,0.964,0.28,0.377,0.517,0.894,104.0,0.341,0.343,0.011,0.182,0.107,0.075,0.591
2023,2022-23,San Francisco,sanfrancisco,1113,951,132.0,214.0,36.0,6.0,10.0,102.0,62.0,11.0,113.0,255.0,292,29.0,15.0,5.0,52,10.0,267.0,215.0,1.242,0.225,0.32,0.362,0.682,79.0,0.295,0.353,0.009,0.229,0.102,0.127,0.443
2023,2022-23,San Joaquin Delta,sanjoaquindelta,1517,1208,380.0,408.0,97.0,17.0,40.0,352.0,49.0,13.0,214.0,179.0,659,48.0,11.0,36.0,154,16.0,221.0,369.0,0.599,0.338,0.442,0.673,1.115,130.0,0.359,0.54,0.026,0.118,0.141,-0.023,1.196
2023,2022-23,San Mateo,sanmateo,1425,1158,278.0,330.0,84.0,15.0,18.0,245.0,62.0,7.0,169.0,206.0,498,61.0,22.0,15.0,117,11.0,266.0,334.0,0.796,0.285,0.393,0.531,0.924,108.0,0.329,0.48,0.013,0.145,0.119,0.026,0.82
2023,2022-23,Santa Ana,santaana,1481,1221,294.0,382.0,79.0,7.0,30.0,251.0,45.0,12.0,174.0,212.0,565,58.0,10.0,18.0,116,24.0,268.0,331.0,0.81,0.313,0.415,0.558,0.973,113.0,0.353,0.452,0.02,0.143,0.117,0.026,0.821
2023,2022-23,Santa Barbara,santabarbara,1366,1088,217.0,286.0,64.0,5.0,12.0,189.0,87.0,12.0,185.0,261.0,396,61.0,14.0,18.0,81,14.0,211.0,319.0,0.661,0.263,0.389,0.438,0.827,96.0,0.329,0.394,0.009,0.191,0.135,0.056,0.709
