season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,2015-16,American River,americanriver,Apr 16,home,Sacramento City,L,5,0,20160416_erfm,9,31,30,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7,0.0,1.0,0.0,1,0.0,6.0,13.0,0.462,0.2,0.194,0.267,0.461,58.0,0.25,0.0,0.0,0.194,0.0,0.194,0.0
2016,2015-16,American River,americanriver,Apr 19,home,Sacramento City,W,6,5,20160419_gr6g,11,42,35,6.0,9.0,2.0,0.0,0.0,6.0,1.0,1.0,3.0,7.0,11,3.0,1.0,0.0,2,0.0,8.0,11.0,0.727,0.257,0.357,0.371,0.728,91.0,0.321,0.4,0.0,0.167,0.071,0.096,0.429
2016,2015-16,American River,americanriver,Apr 2,home,Sierra,L,5,1,20160402_prnz,11,32,30,1.0,8.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,9,1.0,0.0,0.0,1,1.0,11.0,6.0,1.833,0.267,0.312,0.333,0.645,81.0,0.32,0.1,0.0,0.156,0.031,0.125,0.2
2016,2015-16,American River,americanriver,Apr 21,home,Sacramento City,L,7,3,20160421_wc3i,15,37,36,3.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,12,1.0,0.0,0.0,3,1.0,15.0,5.0,3.0,0.25,0.27,0.417,0.687,86.0,0.3,0.3,0.0,0.162,0.0,0.162,0.0
2016,2015-16,American River,americanriver,Apr 23,home,Modesto,W,4,3,20160423_7gct,9,37,34,4.0,8.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,10,1.0,2.0,0.0,2,1.0,15.0,7.0,2.143,0.235,0.243,0.353,0.596,75.0,0.258,0.444,0.0,0.081,0.0,0.081,0.0
2016,2015-16,American River,americanriver,Apr 26,home,Modesto,W,11,5,20160426_rilp,9,45,33,11.0,11.0,3.0,0.0,0.0,9.0,0.0,0.0,8.0,5.0,14,2.0,2.0,0.0,3,0.0,11.0,7.0,1.571,0.333,0.467,0.515,0.982,123.0,0.393,0.524,0.0,0.111,0.178,-0.067,1.6
2016,2015-16,American River,americanriver,Apr 28,home,Modesto,W,4,3,20160428_kp81,10,35,32,4.0,9.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,12,2.0,0.0,1.0,3,1.0,12.0,7.0,1.714,0.281,0.314,0.469,0.783,98.0,0.31,0.364,0.0,0.114,0.0,0.114,0.0
2016,2015-16,American River,americanriver,Apr 5,home,Sierra,W,12,11,20160405_w4na,10,49,37,12.0,11.0,1.0,1.0,1.0,12.0,0.0,1.0,7.0,8.0,17,4.0,0.0,1.0,3,0.0,7.0,11.0,0.636,0.297,0.449,0.541,0.99,124.0,0.345,0.524,0.02,0.163,0.143,0.02,0.875
2016,2015-16,American River,americanriver,Apr 7,home,Sierra,L,9,3,20160407_xg19,14,43,35,3.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,8.0,10,2.0,0.0,0.0,2,0.0,10.0,9.0,1.111,0.229,0.372,0.343,0.715,90.0,0.296,0.188,0.0,0.186,0.14,0.046,0.75
2016,2015-16,American River,americanriver,Apr 8,home,San Joaquin Delta,L,6,4,20160408_emoi,9,37,32,4.0,9.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,13,1.0,2.0,1.0,4,0.0,14.0,8.0,1.75,0.281,0.297,0.531,0.828,104.0,0.31,0.364,0.0,0.108,0.027,0.081,0.25
2016,2015-16,American River,americanriver,Feb 12,home,Hartnell,L,6,2,20160212_168a,10,36,30,2.0,7.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,11,4.0,0.0,0.0,3,4.0,12.0,8.0,1.5,0.233,0.361,0.467,0.828,104.0,0.259,0.154,0.0,0.083,0.056,0.027,0.667
