date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Mar 12,home,Cerritos,W,6-4,6.0,4.0,2,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 15,home,LA Harbor,L,5-2,5.0,2.0,3,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 17,home,LA Harbor,W,7-6,7.0,6.0,1,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 19,home,LA Harbor,W,15-9,15.0,9.0,6,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 22,home,East Los Angeles,L,7-1,7.0,1.0,6,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 24,home,East Los Angeles,L,5-4,5.0,4.0,1,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 26,home,East Los Angeles,L,8-5,8.0,5.0,3,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 30,home,Pasadena City,L,7-2,7.0,2.0,5,win,20220330_fr85,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 31,home,Pasadena City,L,7-3,7.0,3.0,4,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 2,home,Pasadena City,L,7-1,7.0,1.0,6,win,20220402_c35t,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 5,home,El Camino,L,20-2,20.0,2.0,18,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 7,home,El Camino,L,6-4,6.0,4.0,2,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 9,home,El Camino,L,17-2,17.0,2.0,15,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 14,home,Taft,L,10-0,10.0,0.0,10,win,20220414_a5wg,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 15,home,Taft,W,5-1,5.0,1.0,4,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 19,home,Mt. San Antonio,L,21-2,21.0,2.0,19,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Apr 21,home,Mt. San Antonio,L,17-3,17.0,3.0,14,win,20220421_tvis,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
